"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Jan-2025","EQ","240.00","240.40","226.20","242.95","228.00","227.15","231.71","304.70","121.60","6,90,81,908","16,00,67,22,260.30","3,94,376"
"10-Jan-2025","EQ","244.90","246.40","237.45","245.35","243.25","242.95","242.44","304.70","121.60","5,38,17,888","13,04,77,80,162.80","3,14,401"
"09-Jan-2025","EQ","251.60","252.55","244.55","250.05","244.95","245.35","248.06","304.70","121.60","4,95,69,418","12,29,62,59,566.05","2,72,369"
"08-Jan-2025","EQ","251.70","252.75","244.35","252.45","249.65","250.05","247.60","304.70","121.60","5,71,46,621","14,14,92,50,317.00","3,45,608"
"07-Jan-2025","EQ","256.95","259.20","251.00","264.85","251.75","252.45","253.95","304.70","121.60","11,52,16,965","29,25,93,84,237.90","6,04,528"
"06-Jan-2025","EQ","274.50","274.80","262.20","272.85","264.60","264.85","268.21","304.70","121.60","5,22,54,616","14,01,51,15,050.55","3,56,388"
"03-Jan-2025","EQ","285.00","285.00","271.50","284.60","272.55","272.85","277.58","304.70","121.60","4,82,44,937","13,39,18,45,447.80","2,63,260"
"02-Jan-2025","EQ","277.90","286.00","276.00","276.50","285.35","284.60","280.71","304.70","121.60","2,79,49,423","7,84,56,19,626.40","1,54,300"
"01-Jan-2025","EQ","279.00","279.10","276.00","278.05","276.85","276.50","277.22","304.70","121.60","1,44,17,581","3,99,67,75,364.80","98,016"
"31-Dec-2024","EQ","278.00","281.60","275.00","282.10","277.95","278.05","278.36","304.70","121.60","3,19,25,776","8,88,69,51,045.70","1,73,514"
"30-Dec-2024","EQ","271.25","291.60","269.80","271.25","279.70","282.10","280.79","304.70","121.60","14,35,68,542","40,31,19,70,049.15","3,31,310"
"27-Dec-2024","EQ","274.90","275.90","269.75","273.20","271.45","271.25","272.16","304.70","120.60","1,89,97,843","5,17,04,11,527.90","1,24,319"
"26-Dec-2024","EQ","276.60","276.80","271.25","274.85","272.80","273.20","273.18","304.70","120.60","2,60,31,760","7,11,14,30,329.60","2,85,197"
"24-Dec-2024","EQ","274.50","277.00","269.10","273.95","274.50","274.85","273.69","304.70","120.60","3,70,11,994","10,12,98,07,929.35","2,30,142"
"23-Dec-2024","EQ","273.90","282.90","272.00","282.10","274.15","273.95","276.59","304.70","120.60","7,45,88,008","20,63,04,17,591.30","4,24,843"
"20-Dec-2024","EQ","290.00","290.50","274.20","288.50","274.70","282.10","282.75","304.70","120.20","27,14,72,990","76,75,85,94,846.85","3,49,641"
"19-Dec-2024","EQ","288.05","290.20","284.70","291.90","289.20","288.50","287.49","304.70","120.20","3,13,50,637","9,01,28,55,451.30","1,75,217"
"18-Dec-2024","EQ","297.70","297.70","290.00","296.80","292.50","291.90","293.04","304.70","120.20","2,83,48,122","8,30,71,45,639.80","2,05,891"
"17-Dec-2024","EQ","295.50","303.45","292.30","294.15","295.70","296.80","299.16","304.70","120.20","7,27,24,924","21,75,66,52,108.95","3,60,496"
"16-Dec-2024","EQ","289.00","295.90","286.55","288.25","294.50","294.15","292.31","304.70","120.20","3,13,20,679","9,15,53,14,800.55","2,05,651"
"13-Dec-2024","EQ","279.00","288.95","278.20","284.90","288.20","288.25","285.47","304.70","114.15","4,73,02,705","13,50,36,26,756.45","2,52,192"
"12-Dec-2024","EQ","291.80","295.00","284.10","291.80","285.60","284.90","288.38","304.70","114.15","3,84,05,304","11,07,54,26,051.55","2,26,353"
"11-Dec-2024","EQ","290.00","294.30","288.60","295.85","291.35","291.80","291.75","304.70","114.15","3,90,53,928","11,39,40,35,363.15","2,63,989"
"10-Dec-2024","EQ","296.75","299.45","295.00","295.30","296.00","295.85","296.75","304.70","114.15","3,13,33,039","9,29,81,35,871.25","1,86,888"
"09-Dec-2024","EQ","304.70","304.70","291.80","302.95","295.70","295.30","297.23","304.70","114.15","5,11,31,895","15,19,80,71,361.30","3,35,016"
"06-Dec-2024","EQ","300.00","303.90","296.25","299.35","302.45","302.95","300.19","304.65","114.15","4,93,09,068","14,80,20,61,712.55","2,87,621"
"05-Dec-2024","EQ","288.25","304.65","286.85","286.25","299.00","299.35","298.17","304.65","114.15","10,21,48,528","30,45,76,99,452.55","5,33,946"
"04-Dec-2024","EQ","283.00","288.00","283.00","279.85","286.20","286.25","285.79","298.25","114.15","4,55,20,598","13,00,95,27,742.10","2,24,068"
"03-Dec-2024","EQ","279.70","282.35","279.00","282.50","280.00","279.85","279.97","298.25","114.15","3,00,78,648","8,42,12,01,473.95","1,80,832"
"02-Dec-2024","EQ","281.90","285.70","280.45","279.76","282.85","282.50","283.32","298.25","114.15","3,51,70,688","9,96,45,37,688.95","2,06,586"
"29-Nov-2024","EQ","285.00","287.49","273.62","286.13","279.40","279.76","280.56","298.25","113.50","7,34,33,199","20,60,26,97,028.38","4,40,473"
"28-Nov-2024","EQ","285.60","288.25","281.43","284.72","285.20","286.13","285.18","298.25","113.50","4,95,84,020","14,14,02,83,400.71","3,68,268"
"27-Nov-2024","EQ","281.00","289.70","278.76","280.11","285.76","284.72","285.92","298.25","113.50","6,66,35,986","19,05,26,97,014.24","5,46,387"
"26-Nov-2024","EQ","273.80","281.14","272.61","273.31","280.21","280.11","277.47","298.25","113.50","4,83,73,365","13,42,19,59,277.25","4,06,042"
"25-Nov-2024","EQ","273.25","284.34","271.17","264.20","272.90","273.31","278.17","298.25","113.50","11,95,25,837","33,24,87,66,189.61","5,80,890"
"22-Nov-2024","EQ","266.80","268.99","262.55","266.81","264.89","264.20","265.46","298.25","112.50","2,66,26,294","7,06,82,48,084.43","3,31,459"
"21-Nov-2024","EQ","273.70","275.49","262.11","271.36","265.35","266.81","267.92","298.25","112.50","5,77,42,968","15,47,02,75,938.67","3,97,135"
"19-Nov-2024","EQ","271.94","272.70","267.66","270.79","270.02","271.36","271.24","298.25","112.50","4,29,92,794","11,66,15,01,717.46","4,30,431"
"18-Nov-2024","EQ","274.30","274.40","269.36","269.66","270.30","270.79","270.88","298.25","112.50","5,97,99,056","16,19,85,10,535.23","4,62,191"
"14-Nov-2024","EQ","261.50","271.00","260.70","258.40","269.71","269.66","267.50","298.25","112.50","8,49,71,093","22,72,99,16,853.79","5,11,588"
"13-Nov-2024","EQ","258.08","263.43","254.53","260.99","259.02","258.40","259.09","298.25","112.50","6,14,75,328","15,92,77,03,828.41","4,12,687"
"12-Nov-2024","EQ","259.95","264.90","255.30","258.62","258.00","260.99","259.92","298.25","112.50","5,09,75,031","13,24,95,71,208.88","3,58,476"
"11-Nov-2024","EQ","244.75","259.50","244.00","248.73","258.00","258.62","253.91","298.25","112.50","4,39,72,581","11,16,51,80,664.16","3,34,980"
"08-Nov-2024","EQ","256.20","258.12","245.90","255.22","247.00","248.73","252.40","298.25","112.50","4,86,76,279","12,28,57,35,748.34","3,39,520"
"07-Nov-2024","EQ","257.00","262.45","254.00","254.94","254.95","255.22","259.32","298.25","112.50","5,69,67,827","14,77,27,05,756.08","3,77,476"
"06-Nov-2024","EQ","243.30","256.14","243.30","241.87","255.80","254.94","251.48","298.25","112.50","6,17,27,658","15,52,32,94,898.03","4,44,227"
"05-Nov-2024","EQ","244.00","246.35","239.45","245.08","241.40","241.87","242.15","298.25","112.50","4,20,81,056","10,18,97,71,191.38","2,80,127"
"04-Nov-2024","EQ","242.93","246.99","240.00","248.99","244.25","245.08","242.95","298.25","112.50","4,91,86,567","11,94,99,09,217.64","4,61,147"
"01-Nov-2024","EQ","244.40","250.00","244.15","241.75","249.90","248.99","248.73","298.25","103.25","1,30,09,914","3,23,59,96,942.18","1,39,299"
"31-Oct-2024","EQ","248.00","248.80","240.40","246.85","241.50","241.75","243.94","298.25","103.25","3,67,37,366","8,96,18,42,471.35","3,52,991"
"30-Oct-2024","EQ","249.15","250.50","245.05","252.25","247.90","246.85","247.35","298.25","103.25","4,83,99,791","11,97,15,28,189.40","3,24,390"
"29-Oct-2024","EQ","254.95","255.90","248.45","253.95","252.00","252.25","251.74","298.25","103.25","3,02,38,688","7,61,23,66,021.55","1,92,035"
"28-Oct-2024","EQ","252.00","259.25","247.10","253.80","254.00","253.95","253.65","298.25","103.25","4,10,28,381","10,40,68,19,956.50","2,95,087"
"25-Oct-2024","EQ","256.00","257.95","246.50","254.30","251.95","253.80","251.10","298.25","101.25","6,68,29,144","16,78,06,35,163.75","3,97,924"
"24-Oct-2024","EQ","267.20","268.40","252.55","264.05","254.80","254.30","257.79","298.25","101.25","6,03,52,258","15,55,80,18,449.55","3,60,701"
"23-Oct-2024","EQ","256.35","268.00","242.10","256.35","264.00","264.05","257.57","298.25","101.25","16,16,02,998","41,62,37,71,735.65","8,90,245"
"22-Oct-2024","EQ","267.00","270.90","252.75","265.70","256.55","256.35","261.87","298.25","101.25","6,99,63,412","18,32,11,00,995.65","3,87,863"
"21-Oct-2024","EQ","258.00","267.00","254.50","257.45","265.15","265.70","260.81","298.25","101.25","8,83,16,113","23,03,40,38,064.90","5,03,361"
"18-Oct-2024","EQ","256.90","270.30","255.25","270.55","259.20","257.45","261.06","298.25","101.25","10,80,15,952","28,19,89,30,951.00","5,87,036"
"17-Oct-2024","EQ","275.00","275.15","268.60","274.25","270.30","270.55","271.34","298.25","101.25","2,52,28,600","6,84,55,63,870.35","2,33,011"
"16-Oct-2024","EQ","279.00","279.40","273.00","279.55","274.45","274.25","275.50","298.25","101.25","2,08,72,032","5,75,02,35,228.35","1,77,786"
"15-Oct-2024","EQ","283.00","283.00","276.10","280.05","279.55","279.55","279.06","298.25","101.25","2,39,88,729","6,69,43,69,974.90","2,11,828"
"14-Oct-2024","EQ","280.90","285.25","278.00","277.55","278.70","280.05","281.52","298.25","101.25","4,52,17,362","12,72,97,73,863.05","4,22,301"
"11-Oct-2024","EQ","276.40","279.00","275.50","275.35","276.70","277.55","277.08","298.25","101.00","1,71,26,335","4,74,53,07,267.30","1,70,018"
"10-Oct-2024","EQ","280.50","282.45","274.10","279.95","275.30","275.35","277.15","298.25","101.00","3,89,04,819","10,78,24,63,736.50","2,26,500"
"09-Oct-2024","EQ","279.00","290.00","275.35","278.70","279.75","279.95","283.73","298.25","101.00","6,29,67,866","17,86,60,95,854.70","4,00,692"
"08-Oct-2024","EQ","266.00","280.90","262.60","266.10","279.80","278.70","274.46","298.25","101.00","6,89,58,719","18,92,62,59,552.65","3,76,504"
"07-Oct-2024","EQ","278.55","279.00","261.60","275.30","265.00","266.10","267.17","298.25","101.00","5,13,81,672","13,72,75,38,457.05","3,82,593"
"04-Oct-2024","EQ","267.00","277.85","264.10","269.00","274.65","275.30","273.49","298.25","100.00","5,91,02,827","16,16,37,68,343.40","3,42,016"
"03-Oct-2024","EQ","269.70","272.45","268.00","274.15","268.85","269.00","269.93","298.25","100.00","4,07,91,499","11,01,07,51,706.05","3,79,534"
"01-Oct-2024","EQ","272.55","276.45","271.30","273.30","274.45","274.15","273.87","298.25","100.00","3,21,10,540","8,79,40,19,941.45","2,41,486"
"30-Sep-2024","EQ","277.90","277.90","272.45","278.15","272.90","273.30","274.35","298.25","100.00","4,09,76,919","11,24,21,53,803.40","3,60,426"
"27-Sep-2024","EQ","275.40","286.90","273.50","283.90","278.00","278.15","280.65","298.25","97.75","5,88,12,631","16,50,57,62,743.50","4,00,634"
"26-Sep-2024","EQ","285.40","285.90","278.50","285.40","284.00","283.90","282.23","298.25","97.75","3,90,57,810","11,02,33,91,149.55","3,06,593"
"25-Sep-2024","EQ","291.80","291.85","283.05","291.70","286.00","285.40","285.85","298.25","97.75","4,76,85,746","13,63,08,53,572.05","2,99,869"
"24-Sep-2024","EQ","298.00","298.00","290.25","297.00","291.30","291.70","293.38","298.25","97.75","4,08,44,804","11,98,29,35,600.00","2,82,718"
"23-Sep-2024","EQ","292.00","298.25","290.55","290.50","297.35","297.00","294.69","298.25","97.75","4,87,61,823","14,36,97,71,611.05","3,46,300"
"20-Sep-2024","EQ","279.00","293.00","278.95","278.85","289.85","290.50","288.29","293.00","97.75","8,44,16,068","24,33,64,78,716.40","4,42,729"
"19-Sep-2024","EQ","276.50","280.95","272.25","275.85","278.95","278.85","277.19","286.45","97.75","4,82,25,291","13,36,74,62,603.75","3,21,377"
"18-Sep-2024","EQ","270.65","277.85","269.90","270.75","275.25","275.85","274.73","286.45","97.75","3,02,25,926","8,30,38,90,608.35","2,21,991"
"17-Sep-2024","EQ","277.65","278.00","270.00","277.70","270.65","270.75","272.72","286.45","97.75","3,35,15,464","9,14,02,09,068.80","2,49,033"
"16-Sep-2024","EQ","274.50","282.00","269.20","272.90","278.00","277.70","273.97","286.45","97.75","4,77,92,145","13,09,37,01,990.45","2,96,451"
"13-Sep-2024","EQ","285.40","286.45","271.10","283.90","273.50","272.90","277.55","286.45","96.50","8,21,50,759","22,80,08,40,116.80","5,07,677"
"12-Sep-2024","EQ","276.30","286.00","274.30","271.75","283.30","283.90","281.66","286.00","96.50","10,16,91,858","28,64,28,42,848.40","5,88,153"
"11-Sep-2024","EQ","268.25","281.50","268.10","267.70","272.40","271.75","275.91","281.50","96.50","12,18,83,781","33,62,85,36,946.40","5,51,525"
"10-Sep-2024","EQ","265.85","270.30","259.55","263.20","267.15","267.70","265.56","280.90","96.50","6,86,58,961","18,23,31,26,456.25","3,74,474"
"09-Sep-2024","EQ","260.00","265.00","256.30","259.95","262.90","263.20","261.26","280.90","96.50","5,85,34,619","15,29,27,64,488.40","3,48,255"
"06-Sep-2024","EQ","255.00","262.15","254.25","254.85","259.90","259.95","259.40","280.90","96.50","7,57,00,809","19,63,69,99,927.35","4,01,289"
"05-Sep-2024","EQ","248.05","261.60","246.00","242.85","254.85","254.85","254.65","280.90","96.50","11,56,27,516","29,44,48,77,219.85","5,41,758"
"04-Sep-2024","EQ","244.45","245.00","240.40","247.70","243.75","242.85","242.66","280.90","96.50","5,87,62,234","14,25,93,74,313.80","3,49,556"
"03-Sep-2024","EQ","246.75","252.95","245.40","244.45","246.70","247.70","248.91","280.90","96.50","6,65,38,683","16,56,21,72,918.80","3,51,522"
"02-Sep-2024","EQ","252.00","252.30","241.85","250.53","245.10","244.45","245.44","280.90","96.50","5,58,33,057","13,70,34,06,660.10","3,68,854"
"30-Aug-2024","EQ","253.50","255.45","248.81","252.34","251.18","250.53","251.68","280.90","91.75","5,01,57,287","12,62,36,98,289.47","4,68,769"
"29-Aug-2024","EQ","254.78","256.35","248.51","253.04","251.75","252.34","251.58","280.90","91.75","3,77,67,471","9,50,15,87,918.82","2,98,000"
"28-Aug-2024","EQ","257.00","257.74","252.15","256.05","253.00","253.04","254.80","280.90","91.75","2,86,03,253","7,28,80,71,782.22","2,81,460"
"27-Aug-2024","EQ","260.75","261.40","255.40","259.39","255.75","256.05","257.29","280.90","91.75","3,18,16,706","8,18,60,69,806.59","2,98,236"
"26-Aug-2024","EQ","263.80","264.42","258.10","262.65","259.50","259.39","260.17","280.90","91.75","3,61,84,864","9,41,43,66,111.35","3,03,446"
"23-Aug-2024","EQ","260.41","269.90","258.31","257.96","263.48","262.65","265.68","280.90","88.30","10,22,20,794","27,15,78,33,315.94","6,80,202"
"22-Aug-2024","EQ","264.00","267.00","256.01","260.03","257.85","257.96","260.41","280.90","88.30","7,38,93,288","19,24,28,51,652.70","4,75,958"
"21-Aug-2024","EQ","263.12","264.45","259.00","263.12","259.77","260.03","261.13","280.90","88.30","3,86,05,742","10,08,12,59,132.60","2,43,526"
"20-Aug-2024","EQ","262.00","264.45","258.25","262.17","263.20","263.12","261.01","280.90","88.30","13,23,96,556","34,55,67,55,246.82","5,10,308"
"19-Aug-2024","EQ","278.00","280.90","261.00","264.43","263.24","262.17","269.14","280.90","88.30","8,04,35,895","21,64,87,32,492.19","5,09,883"
"16-Aug-2024","EQ","260.70","266.20","257.01","260.14","264.75","264.43","261.39","278.70","88.30","4,29,32,761","11,22,20,49,172.87","2,90,705"
"14-Aug-2024","EQ","260.30","264.50","255.50","257.08","259.25","260.14","259.87","278.70","88.30","4,17,35,068","10,84,55,66,362.67","3,05,078"
"13-Aug-2024","EQ","265.00","265.40","256.00","263.43","258.19","257.08","260.16","278.70","88.30","2,61,27,109","6,79,73,28,417.96","1,99,894"
"12-Aug-2024","EQ","263.50","266.49","261.35","267.09","263.52","263.43","264.01","278.70","88.30","3,35,14,964","8,84,82,12,220.08","2,77,971"
"09-Aug-2024","EQ","267.73","272.90","265.55","265.59","266.90","267.09","269.67","278.70","88.30","5,26,01,958","14,18,52,42,527.09","3,29,825"
"08-Aug-2024","EQ","265.00","267.50","260.00","265.67","264.50","265.59","262.85","278.70","88.30","5,79,17,059","15,22,34,62,598.93","4,15,998"
"07-Aug-2024","EQ","261.53","267.60","251.81","249.08","265.98","265.67","261.65","278.70","88.30","12,73,79,201","33,32,81,39,758.30","7,83,798"
"06-Aug-2024","EQ","265.90","275.00","247.20","256.29","248.90","249.08","260.63","278.70","88.30","14,34,59,602","37,38,94,37,330.51","8,43,498"
"05-Aug-2024","EQ","254.00","265.55","249.00","262.34","256.15","256.29","257.99","278.70","88.30","15,61,06,218","40,27,42,49,100.73","9,68,687"
"02-Aug-2024","EQ","244.50","278.70","243.00","234.09","262.74","262.34","261.37","278.70","81.60","38,90,60,620","1,01,68,85,45,337.29","16,05,331"
"01-Aug-2024","EQ","231.00","238.00","228.00","229.45","237.90","234.09","233.01","238.00","81.60","8,78,88,742","20,47,93,39,298.22","4,28,427"
"31-Jul-2024","EQ","227.61","230.14","226.05","227.13","229.75","229.45","228.64","232.00","81.60","2,50,09,969","5,71,83,64,662.46","1,79,919"
"30-Jul-2024","EQ","226.95","231.20","225.11","226.89","227.00","227.13","228.58","232.00","81.60","3,93,78,466","9,00,09,40,431.00","2,43,511"
"29-Jul-2024","EQ","226.62","229.46","224.10","224.62","227.10","226.89","226.95","232.00","81.60","4,06,44,424","9,22,42,53,180.38","2,02,666"
"26-Jul-2024","EQ","219.00","226.62","216.85","219.31","225.35","224.62","221.37","232.00","79.30","3,56,93,966","7,90,15,68,227.02","2,25,438"
"25-Jul-2024","EQ","221.00","223.97","216.95","223.49","218.95","219.31","220.90","232.00","79.30","2,61,24,437","5,77,09,54,197.65","2,35,501"
"24-Jul-2024","EQ","217.85","225.50","215.60","217.91","224.25","223.49","221.27","232.00","79.30","3,23,58,784","7,16,00,10,235.16","2,39,989"
"23-Jul-2024","EQ","222.50","223.72","207.00","221.66","216.70","217.91","217.29","232.00","79.30","3,65,89,825","7,95,05,30,270.71","2,39,479"
"22-Jul-2024","EQ","214.00","222.19","214.00","218.89","221.30","221.66","220.53","232.00","79.30","3,37,01,488","7,43,23,04,552.57","2,88,204"
"19-Jul-2024","EQ","217.99","220.49","213.67","220.62","220.05","218.89","217.10","232.00","76.50","3,92,57,871","8,52,29,44,421.91","2,77,803"
"18-Jul-2024","EQ","217.75","221.40","210.25","217.49","220.90","220.62","216.05","232.00","76.50","5,85,37,673","12,64,73,10,638.54","4,26,707"
"16-Jul-2024","EQ","230.00","230.35","215.30","229.15","218.35","217.49","221.83","232.00","76.50","4,46,81,031","9,91,13,83,121.86","3,32,122"
"15-Jul-2024","EQ","225.00","232.00","225.00","222.47","229.25","229.15","227.67","232.00","76.50","5,12,03,051","11,65,72,08,295.86","3,60,102"
"12-Jul-2024","EQ","219.00","223.25","217.05","217.14","223.21","222.47","220.29","223.25","73.40","4,55,80,868","10,04,12,03,355.29","2,51,248"
"11-Jul-2024","EQ","211.47","218.95","211.37","211.37","217.00","217.14","215.26","218.95","73.40","4,57,69,091","9,85,23,84,575.26","2,56,627"
"10-Jul-2024","EQ","213.00","213.39","205.74","212.56","210.90","211.37","210.46","214.00","73.40","2,98,52,043","6,28,27,05,249.81","2,14,608"
"09-Jul-2024","EQ","207.80","214.00","206.61","207.93","212.10","212.56","212.16","214.00","73.40","3,93,12,576","8,34,04,36,982.66","2,42,335"
"08-Jul-2024","EQ","208.25","210.00","206.00","207.57","207.26","207.93","208.11","213.95","73.40","1,82,60,120","3,80,00,73,707.38","1,73,686"
"05-Jul-2024","EQ","207.00","208.40","204.77","207.44","207.80","207.57","206.61","213.95","73.00","2,96,81,228","6,13,23,13,593.60","1,75,324"
"04-Jul-2024","EQ","208.39","210.29","206.70","208.44","207.05","207.44","208.62","213.95","73.00","3,00,04,307","6,25,94,48,235.14","2,50,494"
"03-Jul-2024","EQ","209.45","213.95","205.33","209.09","208.40","208.44","209.43","213.95","73.00","6,14,79,249","12,87,56,60,946.38","4,93,334"
"02-Jul-2024","EQ","204.00","209.84","202.25","203.97","208.52","209.09","207.68","209.84","73.00","6,56,98,266","13,64,39,95,174.03","3,95,061"
"01-Jul-2024","EQ","199.71","204.50","194.56","200.56","203.70","203.97","201.16","207.20","73.00","5,35,36,850","10,76,93,99,698.23","4,05,038"
"28-Jun-2024","EQ","201.30","203.92","199.10","200.15","199.80","200.56","201.91","207.20","73.00","3,72,87,397","7,52,86,42,571.27","2,93,219"
"27-Jun-2024","EQ","198.20","201.50","196.00","197.25","199.90","200.15","198.54","207.20","73.00","3,25,35,933","6,45,95,56,594.07","1,89,827"
"26-Jun-2024","EQ","202.56","203.48","196.00","202.27","197.40","197.25","198.09","207.20","73.00","3,89,34,432","7,71,23,60,181.89","3,76,673"
"25-Jun-2024","EQ","201.75","204.70","200.00","198.92","202.56","202.27","202.17","207.20","73.00","6,06,70,560","12,26,57,99,214.97","3,34,581"
"24-Jun-2024","EQ","193.90","199.80","191.95","193.95","198.60","198.92","197.51","207.20","73.00","3,42,01,378","6,75,51,63,316.71","2,09,417"
"21-Jun-2024","EQ","197.90","199.95","193.05","197.05","193.90","193.95","195.97","207.20","72.55","3,78,41,138","7,41,56,51,641.83","2,10,302"
"20-Jun-2024","EQ","199.99","201.80","195.00","198.49","196.69","197.05","197.76","207.20","72.55","4,43,95,214","8,77,94,00,623.34","2,29,496"
"19-Jun-2024","EQ","190.00","201.00","189.56","188.61","198.00","198.49","196.81","207.20","72.55","11,22,74,897","22,09,70,56,629.96","5,58,321"
"18-Jun-2024","EQ","187.50","189.10","184.80","186.24","188.85","188.61","187.37","207.20","72.55","4,06,33,379","7,61,32,94,938.45","2,31,535"
"14-Jun-2024","EQ","185.70","186.60","184.05","184.94","186.19","186.24","185.75","207.20","72.55","2,98,23,712","5,53,97,10,263.28","3,23,579"
"13-Jun-2024","EQ","183.80","185.80","180.15","179.65","185.09","184.94","183.69","207.20","72.55","4,78,91,484","8,79,71,33,900.32","2,06,144"
"12-Jun-2024","EQ","184.39","184.88","179.33","184.02","180.00","179.65","181.01","207.20","72.55","4,28,30,411","7,75,26,03,236.39","2,21,709"
"11-Jun-2024","EQ","182.60","186.00","180.10","182.16","183.90","184.02","183.36","207.20","72.55","4,18,03,815","7,66,50,83,489.69","2,13,388"
"10-Jun-2024","EQ","184.00","186.50","181.56","184.00","182.00","182.16","183.03","207.20","72.55","3,31,63,473","6,07,00,63,924.63","1,92,800"
"07-Jun-2024","EQ","182.50","187.00","180.70","183.65","183.10","184.00","184.91","207.20","69.60","3,31,75,407","6,13,43,68,356.70","1,50,111"
"06-Jun-2024","EQ","185.00","185.80","182.50","183.80","183.10","183.65","184.37","207.20","69.60","2,08,87,553","3,85,10,97,193.05","1,41,222"
"05-Jun-2024","EQ","175.00","185.30","166.75","172.00","183.90","183.80","180.66","207.20","69.60","5,72,13,537","10,33,61,92,896.70","3,15,554"
"04-Jun-2024","EQ","176.50","176.50","146.30","175.45","170.50","172.00","168.43","207.20","69.60","7,52,72,859","12,67,84,64,179.75","5,72,365"
"03-Jun-2024","EQ","184.50","185.50","175.00","179.15","175.45","175.45","176.94","207.20","69.60","5,34,37,123","9,45,52,11,608.75","3,51,780"
"31-May-2024","EQ","178.80","183.15","171.25","180.60","179.50","179.15","177.49","207.20","66.30","14,92,83,415","26,49,61,67,993.60","4,56,285"
"30-May-2024","EQ","183.00","185.00","179.00","183.35","181.00","180.60","181.47","207.20","66.30","3,36,84,173","6,11,25,06,971.15","1,89,332"
"29-May-2024","EQ","180.55","185.40","180.00","181.60","183.45","183.35","183.43","207.20","66.30","3,08,88,209","5,66,57,80,517.85","2,48,641"
"28-May-2024","EQ","184.35","184.80","180.40","183.65","180.90","181.60","182.23","207.20","66.30","3,44,44,521","6,27,67,13,084.55","1,59,815"
"27-May-2024","EQ","183.90","185.45","178.40","182.90","184.10","183.65","182.50","207.20","66.30","4,76,52,253","8,69,64,71,573.65","3,57,300"
"24-May-2024","EQ","188.00","188.00","179.10","186.80","182.50","182.90","183.94","207.20","61.80","3,70,64,093","6,81,74,87,250.10","3,00,765"
"23-May-2024","EQ","186.50","189.40","184.50","185.50","187.30","186.80","186.93","207.20","61.80","2,09,31,137","3,91,27,45,280.55","2,47,731"
"22-May-2024","EQ","190.00","190.00","183.35","189.10","185.60","185.50","185.44","207.20","61.80","4,03,74,419","7,48,70,62,421.45","3,31,491"
"21-May-2024","EQ","194.40","196.50","188.75","194.40","189.10","189.10","191.18","207.20","61.80","3,34,53,174","6,39,54,99,560.75","5,15,943"
"18-May-2024","EQ","194.75","195.70","194.10","194.85","194.50","194.40","194.76","207.20","61.80","25,48,204","49,62,92,477.30","20,507"
"17-May-2024","EQ","195.15","196.00","193.10","195.20","194.90","194.85","194.57","207.20","61.80","2,08,41,351","4,05,50,55,008.45","1,36,475"
